,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
10,5805,Avalanche,AVAX,avalanche,805,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets', 'layer-1']",715748719.0,409106234.0185676,447442534.0185676,False,,11,,,,2024-11-22T04:24:00.000Z,36.34079531263045,961782187.2953293,22.2627,-0.91377398,9.3553624,16.1258048,33.20499723,31.05226203,37.91208015,14867245911.589857,0.4502,26010877692.46,,2024-11-22T04:24:00.000Z,,,,,,2024-11-21 23:25:05.011817
11,5994,Shiba Inu,SHIB,shiba-inu,907,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589260483304199.2,589512450521971.5,False,,12,,,,2024-11-22T04:24:00.000Z,2.4988606024449426e-05,1425880682.7975514,27.7814,-0.10870998,6.23809384,6.68812274,39.39700261,69.85960287,63.95141245,14724798063.065294,0.4466,14731094372.6,,2024-11-22T04:24:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-11-21 23:25:05.011817
12,11419,Toncoin,TON,toncoin,616,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2546756632.4402313,5115782378.654452,True,,13,3414166606.0,18961300731.351192,,2024-11-22T04:24:00.000Z,5.553712785436105,467185856.6150514,42.7019,-0.09120316,5.08044048,6.03639104,6.94902181,-1.66093295,-17.59473329,14143954870.97751,0.4283,28411586003.84,,2024-11-22T04:24:00.000Z,,,,,,2024-11-21 23:25:05.011817
13,20947,Sui,SUI,sui,420,2022-07-12T08:03:11.000Z,"['binance-launchpool', 'coinbase-ventures-portfolio', 'binance-labs-portfolio', 'electric-capital-portfolio', 'a16z-portfolio', 'sui-ecosystem', 'layer-1', 'move-vm']",10000000000.0,2845750695.583888,10000000000.0,False,,14,,,,2024-11-22T04:24:00.000Z,3.6237130812307106,1877630128.422692,18.1263,1.07942144,4.04888004,14.95565304,89.41100834,125.36817338,265.18367621,10312184021.508728,0.3123,36237130812.31,,2024-11-22T04:24:00.000Z,,,,,,2024-11-21 23:25:05.011817
14,1831,Bitcoin Cash,BCH,bitcoin-cash,949,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19791581.25,19791581.25,False,,15,,,,2024-11-22T04:24:00.000Z,493.6111887467632,2242592724.5836015,269.5891,-0.70458104,6.14876128,18.16651572,39.18769554,43.30277423,36.89922126,9769345947.99065,0.2958,10365834963.68,,2024-11-22T04:24:00.000Z,,,,,,2024-11-21 23:25:05.011817
0,1,Bitcoin,BTC,bitcoin,11806,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19785712.0,19785712.0,False,,1,,,,2024-11-22T04:24:00.000Z,98973.79005584664,101468429268.0081,25.5723,-0.07275073,2.42974066,12.97072041,47.63867392,54.41141913,54.72839225,1958266905593.4456,59.3911,2078449591172.78,,2024-11-22T04:24:00.000Z,,,,,,2024-11-21 23:26:05.200910
1,1027,Ethereum,ETH,ethereum,9580,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120428391.07998496,120428391.07998496,True,,2,,,,2024-11-22T04:24:00.000Z,3396.7457885060985,52166970371.073524,66.294,1.47432536,9.67211989,11.33025883,30.04472496,26.93737546,23.61002458,409064630217.50433,12.4063,409064630217.5,,2024-11-22T04:24:00.000Z,,,,,,2024-11-21 23:26:05.200910
2,825,Tether USDt,USDT,tether,104679,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,130718783155.73712,131944368177.92067,True,,3,,,,2024-11-22T04:25:00.000Z,1.0010458886651183,198207000790.35605,32.9905,0.01576678,0.0440175,0.07657501,0.1623074,0.09918607,0.02718231,130855500449.35777,3.9693,132082367297.02,,2024-11-22T04:25:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-11-21 23:26:05.200910
3,5426,Solana,SOL,solana,793,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,474698955.0048034,588791338.6582927,True,,4,,,,2024-11-22T04:25:00.000Z,262.3244449560116,11310530309.572638,73.1486,-0.02762099,11.10027339,26.64475244,58.79666657,78.12962294,71.04017933,124525139892.83377,3.7709,154454361108.44,,2024-11-22T04:25:00.000Z,,,,,,2024-11-21 23:26:05.200910
4,1839,BNB,BNB,bnb,2286,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,144010586.61,144010586.61,False,,5,,,,2024-11-22T04:25:00.000Z,634.4346230696583,2840250399.2501082,26.7512,-0.07657994,5.44529632,2.48856279,7.65631058,6.68520114,9.5473617,91365302233.95573,2.7667,91365302233.96,,2024-11-22T04:25:00.000Z,,,,,,2024-11-21 23:26:05.200910
